model,accuracy,precision_macro,recall_macro,f1_macro,top_2_accuracy
naive_bayes,0.6763005780346821,0.6757159233310549,0.7060547091797091,0.6820381028925012,0.8208092485549133
svm,0.653179190751445,0.714261663780253,0.6644473813223813,0.6807563364604117,0.7976878612716763
mlp,0.6184971098265896,0.623434438368649,0.636892181892182,0.6280957773853052,0.7572254335260116
xgboost,0.6069364161849711,0.6249157907310081,0.6263184731934732,0.6218645307388441,0.7861271676300579
random_forest,0.6242774566473989,0.6243630939998217,0.6465788493913494,0.6199512787641649,0.7514450867052023
