model,hidden_layers,alpha,activation,learning_rate_init,accuracy,precision_macro,recall_macro,f1_macro,top_2_accuracy
mlp_layers_16_alpha_0_0001_relu_lr_0_001,"(16,)",0.0001,relu,0.001,0.30057803468208094,0.3479654418162483,0.29394156769156765,0.2860958485958486,0.4797687861271676
mlp_layers_16_alpha_0_001_relu_lr_0_001,"(16,)",0.001,relu,0.001,0.30057803468208094,0.3479654418162483,0.29394156769156765,0.2860958485958486,0.4797687861271676
mlp_layers_16_alpha_0_01_relu_lr_0_001,"(16,)",0.01,relu,0.001,0.30057803468208094,0.3479654418162483,0.29394156769156765,0.2860958485958486,0.4797687861271676
mlp_layers_64_32_alpha_0_0001_relu_lr_0_0005,"(64, 32)",0.0001,relu,0.0005,0.2832369942196532,0.30131230842212814,0.2475759078884079,0.2291753505115574,0.4277456647398844
mlp_layers_64_32_alpha_0_001_relu_lr_0_0005,"(64, 32)",0.001,relu,0.0005,0.2832369942196532,0.30131230842212814,0.2475759078884079,0.2291753505115574,0.4277456647398844
mlp_layers_64_32_alpha_0_01_relu_lr_0_0005,"(64, 32)",0.01,relu,0.0005,0.2832369942196532,0.30131230842212814,0.2475759078884079,0.2291753505115574,0.4277456647398844
mlp_layers_32_alpha_0_0001_relu_lr_0_0005,"(32,)",0.0001,relu,0.0005,0.23121387283236994,0.2510936804791847,0.22691655566655566,0.21384195331171857,0.4277456647398844
mlp_layers_32_alpha_0_001_relu_lr_0_0005,"(32,)",0.001,relu,0.0005,0.23121387283236994,0.2510936804791847,0.22691655566655566,0.21384195331171857,0.4277456647398844
mlp_layers_32_alpha_0_01_relu_lr_0_0005,"(32,)",0.01,relu,0.0005,0.23121387283236994,0.2510936804791847,0.22691655566655566,0.21384195331171857,0.4277456647398844
mlp_layers_16_alpha_0_0001_tanh_lr_0_0005,"(16,)",0.0001,tanh,0.0005,0.2023121387283237,0.173652005888848,0.20942193223443223,0.17832765745818546,0.3179190751445087
mlp_layers_16_alpha_0_001_tanh_lr_0_0005,"(16,)",0.001,tanh,0.0005,0.2023121387283237,0.173652005888848,0.20942193223443223,0.17832765745818546,0.3179190751445087
mlp_layers_16_alpha_0_01_tanh_lr_0_0005,"(16,)",0.01,tanh,0.0005,0.2023121387283237,0.173652005888848,0.20942193223443223,0.17832765745818546,0.3179190751445087
mlp_layers_16_alpha_0_0001_relu_lr_0_0005,"(16,)",0.0001,relu,0.0005,0.1791907514450867,0.31743077849117174,0.15955251924001923,0.14503993432197093,0.3352601156069364
mlp_layers_16_alpha_0_001_relu_lr_0_0005,"(16,)",0.001,relu,0.0005,0.1791907514450867,0.31743077849117174,0.15955251924001923,0.14503993432197093,0.3352601156069364
mlp_layers_16_alpha_0_01_relu_lr_0_0005,"(16,)",0.01,relu,0.0005,0.1791907514450867,0.31743077849117174,0.15955251924001923,0.14503993432197093,0.3352601156069364
